CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,FECHA_INICIO_LICENCIAMIENTO,FECHA_FIN_LICENCIAMIENTO,PERIODO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FECHA_CORTE
001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,P�BLICO,LICENCIA OTORGADA,20180410,20280410,10,LIMA,LIMA,LIMA,140101,-12.0560257,-77.0844226,20230601
002,UNIVERSIDAD NACIONAL DE SAN CRIST�BAL DE HUAMANGA,P�BLICO,LICENCIA OTORGADA,20180601,20240601,6,AYACUCHO,HUAMANGA,AYACUCHO,050101,-13.1612654,-74.2257339,20230601
004,UNIVERSIDAD NACIONAL DE TRUJILLO,P�BLICO,LICENCIA OTORGADA,20180921,20260921,8,LA LIBERTAD,TRUJILLO,TRUJILLO,120101,-8.114377814,-79.03790143,20230601
005,UNIVERSIDAD NACIONAL DE SAN AGUST�N DE AREQUIPA,P�BLICO,LICENCIA OTORGADA,20180827,20280827,10,AREQUIPA,AREQUIPA,AREQUIPA,040101,-16.403293,-71.52488856,20230601
006,UNIVERSIDAD NACIONAL DE INGENIER�A,P�BLICO,LICENCIA OTORGADA,20171128,20271128,10,LIMA,LIMA,R�MAC,140122,-12.02373883,-77.04837621,20230601
007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,P�BLICO,LICENCIA OTORGADA,20170320,20250320,8,LIMA,LIMA,LA MOLINA,140110,-12.07842882,-76.94659456,20230601
008,PONTIFICIA UNIVERSIDAD CAT�LICA DEL PER�,PRIVADO,LICENCIA OTORGADA,20160705,20260705,10,LIMA,LIMA,SAN MIGUEL,140127,-12.07149852,-77.07838661,20230601
011,UNIVERSIDAD NACIONAL DE LA AMAZON�A PERUANA,P�BLICO,LICENCIA OTORGADA,20190207,20270207,8,LORETO,MAYNAS,SAN JUAN BAUTISTA,150113,-3.76462148,-73.27088066,20230601
012,UNIVERSIDAD NACIONAL DEL ALTIPLANO,P�BLICO,LICENCIA OTORGADA,20180105,20240105,6,PUNO,PUNO,PUNO,200101,-15.8243805,-70.0162544,20230601
014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,20160726,20260726,10,LIMA,LIMA,SAN MART�N DE PORRES,140126,-12.02388414,-77.05635292,20230601
