CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,FECHA_INICIO_LICENCIAMIENTO,FECHA_FIN_LICENCIAMIENTO,PERIODO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FECHA_CORTE
072,UNIVERSIDAD SE�OR DE SIP�N S.A.C.,PRIVADO,LICENCIA OTORGADA,20200103,20260103,6,LAMBAYEQUE,CHICLAYO,PIMENTEL,130110,-6.795004696,-79.88523121,20230601
075,UNIVERSIDAD NACIONAL AMAZ�NICA DE MADRE DE DIOS,P�BLICO,LICENCIA OTORGADA,20191014,20251014,6,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,160101,-12.5885658,-69.2095274,20230601
077,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APUR�MAC,P�BLICO,LICENCIA OTORGADA,20200205,20260205,6,APUR�MAC,ABANCAY,TAMBURCO,030109,-13.61755584,-72.86815631,20230601
078,UNIVERSIDAD PERUANA DE LAS AM�RICAS S.A.C.,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,LIMA,LIMA,140101,-12.0630477,-77.0380365,20230601
081,UNIVERSIDAD PERUANA DE CIENCIAS E INFORM�TICA S.A.C.,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,LIMA,LINCE,140111,-12.08794324,-77.03352126,20230601
083,UNIVERSIDAD PRIVADA TELESUP S.A.C.,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,LIMA,LIMA,140101,-12.0640089,-77.0345749,20230601
045,UNIVERSIDAD SAN PEDRO,PRIVADO,LICENCIA DENEGADA,,,0,�NCASH,SANTA,CHIMBOTE,021301,-9.076107052,-78.5944451,20230601
048,UNIVERSIDAD JOS� CARLOS MARI�TEGUI,PRIVADO,LICENCIA DENEGADA,,,0,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,170101,-17.1900294,-70.9423867,20230601
050,UNIVERSIDAD CIENT�FICA DEL PER�,PRIVADO,LICENCIA DENEGADA,,,0,LORETO,MAYNAS,SAN JUAN BAUTISTA,150113,-3.769188297,-73.28203694,20230601
053,UNIVERSIDAD CAT�LICA LOS �NGELES DE CHIMBOTE,PRIVADO,LICENCIA DENEGADA,,,0,�NCASH,SANTA,CHIMBOTE,021301,-9.073847881,-78.59355615,20230601
064,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.,PRIVADO,LICENCIA OTORGADA,20191107,20251107,6,LIMA,LIMA,CHORRILLOS,140108,-12.19647398,-77.0055825,20230601
074,UNIVERSIDAD CAT�LICA DE TRUJILLO BENEDICTO XVI,PRIVADO,LICENCIA OTORGADA,20190225,20250225,6,LA LIBERTAD,TRUJILLO,MOCHE,120104,-8.160289281,-79.0114454,20230601
085,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,CA�ETE,SAN VICENTE DE CA�ETE,140401,-13.07308595,-76.36939859,20230601
086,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,PRIVADO,LICENCIA DENEGADA,,,0,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,-8.388089,-74.531292,20230601
090,UNIVERSIDAD PRIVADA DE TRUJILLO,PRIVADO,LICENCIA DENEGADA,,,0,LA LIBERTAD,TRUJILLO,LAREDO,120103,-8.1081445,-78.99437,20230601
091,UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.,PRIVADO,LICENCIA DENEGADA,,,0,PUNO,PUNO,PUNO,200101,-15.8395008,-70.0295166,20230601
092,UNIVERSIDAD PERUANA SIM�N BOL�VAR S.A.C.,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,LIMA,PUEBLO LIBRE,140117,-12.0715043,-77.0510267,20230601
094,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADO,LICENCIA DENEGADA,,,0,LORETO,MAYNAS,SAN JUAN BAUTISTA,150113,-3.771757644,-73.28343169,20230601
